Source,website,page_url,TRUE,FALSE
www.facebook.com,siarchives.si.edu,1,0,1
www.facebook.com,rt.com,1,0,1
www.facebook.com,www.bradycampaign.org,1,0,1
www.facebook.com,www.bt.cdc.gov,1,1,0
www.facebook.com,research.hks.harvard.edu,1,0,1
www.facebook.com,www.buzzfeed.com,1,0,1
www.facebook.com,www.dailykos.com,1,0,1
www.facebook.com,www.csmonitor.com,1,0,1
www.facebook.com,www.cracked.com,1,0,1
www.youtube.com,www.capitol.hawaii.gov,1,0,1
www.facebook.com,www.columbia.edu,1,0,1
www.facebook.com,www.college.columbia.edu,1,0,1
www.facebook.com,www.cnn.com,1,0,1
www.facebook.com,www.cjr.org,1,1,0
www.youtube.com,www.cbsnews.com,1,0,1
www.facebook.com,www.cia.gov,1,0,1
www.facebook.com,www.census.gov,1,0,1
www.facebook.com,www.cbsnews.com,1,0,1
www.youtube.com,www.detroitnews.com,1,1,0
www.facebook.com,www.cap-press.com,1,0,1
www.youtube.com,www.eia.doe.gov,1,0,1
www.facebook.com,rightwingnews.com,1,0,1
www.facebook.com,religion.blogs.cnn.com,1,0,1
www.facebook.com,bluecrossmafoundation.org,1,0,1
www.facebook.com,housedocs.house.gov,1,0,1
www.facebook.com,hdl.loc.gov,1,0,1
www.facebook.com,gasbuddy.com,1,0,1
www.facebook.com,fuelgaugereport.aaa.com,1,0,1
www.facebook.com,en.wikipedia.org,1,0,1
www.facebook.com,edition.cnn.com,1,0,1
www.facebook.com,drive.google.com,1,1,0
www.youtube.com,www.nytimes.com,1,0,1
www.facebook.com,docs.google.com,1,0,1
www.facebook.com,data.un.org,1,0,1
www.facebook.com,dailycaller.com,1,0,1
www.facebook.com,cwc.fas.org,1,1,0
www.facebook.com,csgv2.blogspot.com,1,0,1
www.facebook.com,costsofwar.org,1,0,1
www.facebook.com,content.healthaffairs.org,1,0,1
www.facebook.com,cdn.gop.com,1,1,0
www.facebook.com,hereandnow.wbur.org,1,0,1
www.facebook.com,humanevents.com,1,0,1
www.facebook.com,rechten.uvt.nl,1,0,1
www.facebook.com,ia600805.us.archive.org,1,0,1
www.facebook.com,president45donaldtrump.com,1,0,1
www.facebook.com,postalmuseumblog.si.edu,1,0,1
www.facebook.com,pgpf.org,1,0,1
www.facebook.com,owsposters.tumblr.com,1,0,1
www.facebook.com,nypost.com,1,0,1
www.facebook.com,nlihc.org,1,1,0
www.facebook.com,nces.ed.gov,1,1,0
www.facebook.com,nationalhomeless.org,1,0,1
www.facebook.com,money.cnn.com,1,0,1
www.facebook.com,media.cq.com,1,0,1
www.facebook.com,media.corporate-ir.net,1,0,1
www.facebook.com,madworldnews.com,1,0,1
www.facebook.com,lobbyingdisclosure.house.gov,1,0,1
www.facebook.com,jessicavalenti.com,1,0,1
www.facebook.com,iipdigital.usembassy.gov,1,0,1
www.fireandreamitchell.com,www.cfda.gov,1,0,1
www.westernjournalism.com,www.flhouse.gov,1,0,1
www.fireandreamitchell.com,www.cruz.senate.gov,1,0,1
www.plannedparenthood.org,www.scrippsnews.com,1,0,1
www.youngcons.com,diplopundit.net,1,1,0
www.politicalears.com,qz.com,1,0,1
www.politicalears.com,pamelageller.com,1,0,1
www.politicalears.com,nationalreport.net,1,0,1
www.plannedparenthood.org,www.wnd.com,1,0,1
www.plannedparenthood.org,www.washingtontimes.com,1,0,1
www.plannedparenthood.org,www.stopp.org,1,0,1
www.youngcons.com,jakarta.usembassy.gov,1,1,0
www.outsidethebeltway.com,www.outsidethebeltway.com,1,0,1
www.plannedparenthood.org,www.gao.gov,1,0,1
www.plannedparenthood.org,olson.house.gov,1,0,1
www.pbs.org,www.washingtonpost.com,1,0,1
www.pbs.org,www.pbs.org,1,0,1
www.pbs.org,www.nytimes.com,1,0,1
www.pbs.org,www.fbi.gov,1,0,1
www.pbs.org,codes.lp.findlaw.com,1,0,1
www.politicalears.com,www.bostonglobe.com,1,0,1
www.politicalears.com,www.charitynavigator.org,1,0,1
www.politicalears.com,www.nbcnews.com,1,0,1
www.politifact.com,docs.google.com,1,0,1
www.politifact.com,www.miamiherald.com,1,0,1
www.politifact.com,www.ibtimes.co.uk,1,0,1
www.politifact.com,www.facebook.com,1,0,1
www.youngcons.com,benghazi.house.gov,1,0,1
www.politifact.com,www.copyright.gov,1,0,1
www.politifact.com,www.cbsnews.com,1,0,1
www.politifact.com,www.carolinalive.com,1,0,1
www.politifact.com,www.bbc.com,1,0,1
www.politifact.com,www.aapsonline.org,1,0,1
www.politifact.com,webcache.googleusercontent.com,1,0,1
www.politifact.com,trailblazersblog.dallasnews.com,1,0,1
www.politifact.com,thesource.com,1,0,1
www.politifact.com,theobamafile.com,1,0,1
www.politifact.com,m.snopes.com,1,0,1
www.politifact.com,drjengunter.wordpress.com,1,0,1
www.outsidethebeltway.com,www.thestar.com,1,0,1
www.outsidethebeltway.com,www.newsweek.com,1,0,1
www.mystatesman.com,drive.google.com,1,0,1
www.naturalnews.com,www.fda.gov,1,0,1
www.onlinesentinel.com,ironicsurrealism.blogivists.com,1,0,1
www.npr.org,www.npr.org,1,0,1
www.youngcons.com,news.yahoo.com,1,0,1
www.npr.org,www.boston.com,1,0,1
www.naturalnews.com,www.who.int,1,0,1
www.naturalnews.com,www.webmd.com,1,0,1
www.naturalnews.com,www.naturalnews.com,1,0,1
www.naturalnews.com,www.aap.org,1,0,1
www.outsidethebeltway.com,www.fifa.com,1,0,1
www.naturalnews.com,wonder.cdc.gov,1,0,1
www.naturalnews.com,vaers.hhs.gov,1,0,1
www.naturalnews.com,media.cmgdigital.com,1,0,1
www.naturalnews.com,bit.ly,1,0,1
www.naturalnews.com,abcnews.go.com,1,0,1
www.mystatesman.com,www.pewresearch.org,1,0,1
www.mystatesman.com,www.mystatesman.com,1,0,1
www.youngcons.com,m.snopes.com,1,1,0
www.onlinesentinel.com,michellemalkin.com,1,0,1
www.onlinesentinel.com,www.fireandreamitchell.com,1,0,1
www.onlinesentinel.com,www.newsrealblog.com,1,0,1
www.outsidethebeltway.com,www.cybergolf.com,1,0,1
www.outsidethebeltway.com,metro.co.uk,1,0,1
www.organicandhealthy.org,www.who.int,1,0,1
www.organicandhealthy.org,www.thelancet.com,1,0,1
www.organicandhealthy.org,www.sciencemag.org,1,0,1
www.organicandhealthy.org,www.sciencedirect.com,1,0,1
www.organicandhealthy.org,www.organicandhealthy.org,1,0,1
www.organicandhealthy.org,www.ncirs.edu.au,1,0,1
www.organicandhealthy.org,www.icmr.nic.in,1,0,1
www.organicandhealthy.org,www.cdc.gov,1,0,1
www.organicandhealthy.org,samawomenshealth.wordpress.com,1,0,1
www.onlinesentinel.com,www.theblogmocracy.com,1,0,1
