Source,Destination,Monday,Elections,Military,Thursday,Religion,Friday,Saturday,TRUE,History,Tuesday,Wednesday,Sunday,page_url,Health Care,FALSE,jaccard_coeff_connection,Neighbor_connection,jaccard_coeff_common_destination,Neighbor_common_destination,jaccard_coeff_common_source,Neighbor_common_source,SourceSite_outdeg_real,DestSite_outdeg_real,SourceSite_outdeg_fake,DestSite_outdeg_fake,SourceSite_indeg_fake,DestSite_indeg_fake,DestSite_indeg_real,SourceSite_indeg_real,mutuality_ind,MedianPolarityScore,Label
www.facebook.com,www.cambridgema.gov,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,2,0,1.0,0.0,0.0,0
hdl.loc.gov,www.consumersunion.org,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,12,0.0,2.0,2,0,0.0,0.0,0.4215,0
twitter.com,cbo.gov,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0.0,0,0.0,0,0.0,0,18,0.0,32,0.0,12.0,0,2,0.0,0.0,0.4939,1
www.facebook.com,www.fcor.state.fl.us,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,2,0,1.0,0.0,0.1779,0
www.motherjones.com,www.healthcare.gov,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0.0,0,0.0,0,0.0,0,0,0.0,10,0.0,2.0,4,0,0.0,0.0,0.3182,0
jesus-loves-you.org,books.google.com,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,11,0.0,0.0,2,0,0.0,0.0,0.0,0
www.learnprogress.org,www.cnn.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,19,0.0,0.0,19,0,0.0,0.0,0.0,0
www.facebook.com,www.fas.org,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0.00641025641025641,1,0.0,0,0.08333333333333333,1,30,0.0,225,0.0,10.0,7,0,1.0,0.0,-0.3548,0
www.learnprogress.org,www.nbcnews.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,19,0.0,0.0,10,0,0.0,0.0,0.0,0
townhall.com,http:,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,7,0.0,6,0.0,3.0,2,0,0.0,0.0,0.0,0
americannews.com,www.snopes.com,1,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0.030303030303030307,1,0.0,0,0.0,0,0,0.0,14,6.0,0.0,33,1,0.0,0.0,0.0595,0
justicegazette.org,vote.sos.ca.gov,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,2,0,0.0,0.0,0.5719,0
townhall.com,www.cq.com,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0.0,0,0.0,0,0.0,0,7,0.0,6,0.0,3.0,0,2,0.0,0.0,0.4939,1
